,wavelength,spire500,spire350,spire250,dnu
0,166.671,1.13E-11,4.85E-07,0.000167652,-2933316080
1,166.949,-6.82E-11,4.09E-07,0.000130576,-2933316080
2,167.228,-4.53E-11,3.65E-07,9.33E-05,-2933316080
3,167.48,-7.32E-11,3.06E-07,5.40E-05,-2933316080
4,167.761,8.29E-11,3.15E-07,8.40E-06,-2933316080
5,168.043,2.35E-10,4.09E-07,-3.75E-05,-2933316080
6,168.326,4.55E-11,3.88E-07,-6.02E-05,-2933316080
7,168.581,4.97E-11,4.89E-07,-7.00E-05,-2933316080
8,168.866,-3.36E-11,3.98E-07,-7.54E-05,-2933316080
9,169.152,-2.86E-12,5.41E-07,-1.98E-05,-2933316080
10,169.438,-1.77E-11,6.95E-07,3.61E-05,-2933316080
11,169.726,1.43E-11,7.34E-07,9.35E-05,-2933316080
12,169.986,-1.78E-11,5.31E-07,0.000152443,-2933316080
13,170.275,-1.49E-11,6.86E-07,0.000211706,-2933316080
14,170.565,5.30E-11,5.40E-07,0.000215766,-2933316080
15,170.857,4.00E-11,6.22E-07,0.000214717,-2933316080
16,171.149,4.39E-11,5.49E-07,0.000219491,-2933316080
17,171.413,6.15E-11,5.69E-07,0.00023544,-2933316080
18,171.708,2.85E-11,4.33E-07,0.000251545,-2933316080
19,172.003,4.10E-12,4.62E-07,0.000307726,-2933316080
20,172.299,1.24E-10,4.07E-07,0.00037661,-2933316080
21,172.567,6.43E-11,4.54E-07,0.000420365,-2933316080
22,172.865,4.43E-11,4.31E-07,0.000354841,-2933316080
23,173.165,6.59E-11,3.84E-07,0.000288877,-2933316080
24,173.465,1.18E-10,3.53E-07,0.00021586,-2933316080
25,173.766,8.13E-11,4.35E-07,0.000138153,-2933316080
26,174.038,1.18E-10,3.79E-07,6.28E-05,-2933316080
27,174.342,1.05E-10,4.37E-07,5.97E-05,-2933316080
28,174.646,1.26E-11,4.14E-07,5.67E-05,-2933316080
29,174.952,7.54E-11,5.45E-07,6.99E-05,-2933316080
30,175.259,1.05E-10,6.32E-07,0.00010218,-2933316080
31,175.535,6.65E-11,6.95E-07,0.000134633,-2933316080
32,175.844,1.24E-10,4.42E-07,0.000113373,-2933316080
33,176.154,1.50E-10,7.29E-07,8.50E-05,-2933316080
34,176.465,2.09E-10,5.92E-07,5.97E-05,-2933316080
35,176.745,2.78E-10,4.61E-07,4.13E-05,-2933316080
36,177.058,4.19E-10,5.61E-07,2.28E-05,-2933316080
37,177.372,5.17E-10,5.14E-07,0.00011243,-2933316080
38,177.687,6.55E-10,4.20E-07,0.00024177,-2933316080
39,178.004,8.44E-10,3.91E-07,0.000356231,-2933316080
40,178.289,8.37E-10,4.67E-07,0.000389062,-2933316080
